FID,gridcode,AREA_GEO,ELEV
0,1,11.85236169,1720.15
1,2,8.691731765,1744.3
2,3,7.511496626,1768.45
3,4,7.641522542,1792.6
4,5,8.001594219,1816.75
5,6,7.781550157,1840.9
6,7,8.31165585,1865.05
7,8,7.761546433,1889.2
8,9,6.231241251,1913.35
9,10,6.211237216,1937.5
10,11,6.551304933,1961.65
11,12,4.520900113,1985.8
12,13,4.480891957,2009.95
13,14,4.990993176,2034.1
14,15,5.941182592,2058.25
15,16,6.701333674,2082.4
16,17,6.141221979,2106.55
17,18,6.731339229,2130.7
18,19,5.031000687,2154.85
19,20,4.50089509,2179
