"","CODE","MIN_ELEV","MAX_ELEV","AREA","H_INTEGRAL"
"1","C001","1370","1667","43.7","0.695"
"2","C002","1378","1718","35.35","0.73"
"3","C003","1394","1784","23.96","0.626"
"4","C004","1395","1805","36.51","0.615"
"5","C005","1400","1674","35.85","0.68"
"6","C006","1410","1760","60.15","0.661"
"7","C007","1419","1810","44.85","0.589"
"8","C008","1433","1826","42.8","0.596"
"9","C009","1428","1778","50.5","0.589"
"10","C010","1423","1760","27.47","0.644"
"11","C011","1437","1827","56.23","0.698"
"12","C012","1451","1849","48.74","0.599"
"13","C013","1454","1890","116.83","0.671"
"14","C014","1504","1824","129.39","0.617"
"15","C015","1534","1952","95.29","0.617"
"16","C016","1540","1934","72.25","0.698"
"17","C017","1546","1781","150.45","0.545"
"18","C018","1556","1761","54.52","0.655"
"19","C019","1681","1996","92.08","0.648"
"20","C020","1561","2055","276.46","0.739"
"21","C021","1565","1807","58.24","0.708"
"22","C022","1631","2071","215.4","0.681"
"23","C023","1569","1838","38.83","0.64"
"24","C024","1571","1843","65.12","0.579"
"25","C025","1574","1855","45.82","0.579"
"26","C026","1580","1910","63.65","0.621"
"27","C027","1584","1985","103.36","0.642"
"28","C028","1586","1968","98.3","0.645"
"29","C029","1589","1895","58.76","0.677"
"30","C030","1594","1923","55.77","0.66"
"31","C031","1599","1977","150.96","0.64"
"32","C032","1604","2048","313.53","0.635"
"33","C033","1606","2008","147.45","0.529"
"34","C034","1607","2010","90.8","0.662"
"35","C035","1609","1952","74.24","0.782"
"36","C036","1611","2012","188.29","0.732"
"37","C037","1656","1963","111.75","0.596"
"38","C038","1613","1784","103.83","0.776"
"39","C039","1621","2011","212.27","0.724"
"40","C040","1622","1956","102.17","0.701"
"41","C041","1621","1946","131.63","0.65"
"42","C042","1631","2007","130.34","0.584"
"43","C043","1637","2002","81.3","0.791"
"44","C044","1687","2009","121.94","0.581"
"45","C045","1639","2047","163.58","0.618"
"46","C046","1643","1950","42.79","0.665"
"47","C047","1646","2044","126.82","0.756"
"48","C048","1655","1946","106.17","0.774"
"49","C049","1664","1995","68.18","0.646"
"50","C050","1661","2006","108.94","0.759"
"51","C051","1670","1786","29.47","0.793"
"52","C052","1639","1933","78.37","0.781"
"53","C053","1631","1959","187.36","0.691"
"54","C054","1624","1890","61.49","0.777"
"55","C055","1633","1874","64.52","0.797"
"56","C056","1647","1871","23.54","0.75"
"57","C057","1653","2076","116.72","0.803"
"58","C058","1675","2092","127.68","0.67"
"59","C059","1666","2134","133.8","0.708"
"60","C060","1673","2169","181.8","0.649"
"61","C061","1683","2142","53.34","0.784"
"62","C062","1689","2171","104.55","0.685"
"63","C063","1699","2171","49.07","0.627"
"64","C064","1703","2108","53.24","0.772"
"65","C065","1713","2154","101.24","0.589"
"66","C066","1720","2137","48.02","0.71"
"67","C067","1727","2118","27.68","0.682"
"68","C068","1743","2168","98.48","0.621"
"69","C069","1767","2185","103.79","0.685"
"70","C070","1799","2225","124.36","0.652"
"71","C071","1749","2130","29.66","0.779"
"72","C072","1826","2167","70.31","0.731"
"73","C073","1660","2140","136.77","0.667"
"74","C074","1659","1962","141.04","0.639"
"75","C075","1663","2033","111.34","0.679"
"76","C076","1705","2129","166.42","0.622"
"77","C077","1677","2002","49.85","0.797"
"78","C078","1693","2140","176.29","0.719"
"79","C079","1726","2125","178.82","0.703"
"80","C080","1887","2216","158.61","0.701"
"81","C081","1696","2179","135.59","0.671"
"82","C082","1718","2080","159.9","0.696"
"83","C083","1708","2184","184.21","0.601"
"84","C084","1683","2138","207.05","0.612"
"85","C085","1754","2151","141.71","0.689"
"86","C086","1742","2148","153.15","0.669"
"87","C087","1763","2217","123.97","0.644"
"88","C088","1765","2177","129.73","0.659"
"89","C089","1772","2203","210.4","0.673"
"90","C090","1779","2199","211.26","0.714"
"91","C091","1782","2032","62.66","0.608"
"92","C092","1734","2150","70.21","0.702"
"93","C093","1368","1610","20.87","0.739"
